Date,"Fase, banco, y malla programada",Estado / Motivo de suspensión,Hora de ejecución,URL
23-12-2023,Fase 07 Banco 960 malla precorte,Ejecutada,10:35,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2023\12.%20Diciembre\registro%20tronadura%20realizada%2023-12-2023.pdf
28-12-2023,Fase 07 Banco 960 mallas 04a-05a,Ejecutada,11:42,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2023\12.%20Diciembre\registro%20tronadura%20realizada%2028-12-2023.pdf
28-12-2023,Fase 07 Banco 960 mallas precorte,Ejecutada,11:42,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2023\12.%20Diciembre\registro%20tronadura%20realizada%2028-12-2023.pdf
28-12-2023,Fase 06 Banco 960 malla 14e-15e-16b,Ejecutada,11:46,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2023\12.%20Diciembre\registro%20tronadura%20realizada%2028-12-2023.pdf
29-12-2023,Fase 07 Banco 960 malla 01d-02c-06a,Ejecutada,11:21,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2023\12.%20Diciembre\registro%20tronadura%20realizada%2029-12-2023.pdf
29-12-2023,Fase 07 Banco 960 malla precorte,Ejecutada,11:21,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2023\12.%20Diciembre\registro%20tronadura%20realizada%2029-12-2023.pdf
02-01-2024,Fase 07 Banco 960 Malla 3B-5B,Ejecutada,12:16,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\01.Enero\Registro%20tronadura%20realizada%2002-01-2024.pdf
02-01-2024,Fase 07 Banco 960 Malla Precorte,Ejecutada,12:16,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\01.Enero\Registro%20tronadura%20realizada%2002-01-2024.pdf
02-01-2024,Fase 07 Banco 960 Malla 4B-7A,Suspendida por condición de viento,17:00,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\01.Enero\Registro%20tronadura%20realizada%2002-01-2024.pdf
02-01-2024,Fase 07 Banco 960 Malla Precorte,Suspendida por condición de viento,17:00,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\01.Enero\Registro%20tronadura%20realizada%2002-01-2024.pdf
03-01-2024,Fase 07 Banco 960 Malla 4B-7A,Ejecutada,10:55,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\01.Enero\Registro%20tronadura%20realizada%2003-01-2024.pdf
03-01-2024,Fase 07 Banco 960 Malla Precorte,Ejecutada,10:55,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\01.Enero\Registro%20tronadura%20realizada%2003-01-2024.pdf
05-01-2024,Fase 06 Banco 950 malla 11a,Ejecutada,12:37,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\01.Enero\Registro%20tronadura%20realizada%2005-01-2024.pdf
05-01-2024,Fase 06 Banco 960 malla 18a,Ejecutada,12:44,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\01.Enero\Registro%20tronadura%20realizada%2005-01-2024.pdf
08-01-2024,Fase 06 Banco 950 malla 19a,Ejecutada,11:28,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\01.Enero\Registro%20tronadura%20realizada%2008-01-2024.pdf
08-01-2024,0,Ejecutada,11:28,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\01.Enero\Registro%20tronadura%20realizada%2008-01-2024.pdf
10-01-2024,Fase 06 Banco 960 Malla 16C,Ejecutada,14:15,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\01.Enero\Registro%20tronadura%20realizada%2010-01-2024.pdf
12-01-2024,Fase 07 Banco 970 Malla 08A-09A,Ejecutada,11:31,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\01.Enero\Registro%20tronadura%20realizada%2012-01-2024.pdf
13-01-2024,Fase 06 Banco 960 mallas 19b-20a,Ejecutada,11:47,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\01.Enero\Registro%20tronadura%20realizada%2013-01-2024.pdf
13-01-2024,0,Ejecutada,11:47,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\01.Enero\Registro%20tronadura%20realizada%2013-01-2024.pdf
17-01-2024,Fase 07 Banco 970 Malla 08B-10A,Ejecutada,10:57,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\01.Enero\Registro%20tronadura%20realizada%2017-01-2024.pdf
17-01-2024,Fase 7 Banco 970 Malla Precorte,Ejecutada,10:57,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\01.Enero\Registro%20tronadura%20realizada%2017-01-2024.pdf
17-01-2024,Fase 6 Banco 960 Malla 20B,Ejecutada,9:34,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\01.Enero\Registro%20tronadura%20realizada%2017-01-2024.pdf
17-01-2024,Fase 6 Banco 960 Malla Precorte,Ejecutada,9:34,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\01.Enero\Registro%20tronadura%20realizada%2017-01-2024.pdf
19-01-2024,Fase 06 Banco 950 Malla 11B12A13A,Ejecutada,10:59,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\01.Enero\Registro%20tronadura%20realizada%2019-01-2024.pdf
22-01-2024,Fase 06 Banco 950 mallas 12b-13b,Ejecutada,11:53,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\01.Enero\Registro%20tronadura%20realizada%2022-01-2024.pdf
22-01-2024,0,Ejecutada,11:53,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\01.Enero\Registro%20tronadura%20realizada%2022-01-2024.pdf
23-01-2024,Fase 07 Banco 960 mallas 02D-06B,Ejecutada,12:28,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\01.Enero\Registro%20tronadura%20realizada%2023-01-2024.pdf
23-01-2024,0,Ejecutada,12:28,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\01.Enero\Registro%20tronadura%20realizada%2023-01-2024.pdf
29-01-2024,Fase 07 Banco 950 mallas 03a-04a,Ejecutada,10:25,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\01.Enero\Registro%20tronadura%20realizada%2029-01-2024.pdf
29-01-2024,0,Ejecutada,10:25,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\01.Enero\Registro%20tronadura%20realizada%2029-01-2024.pdf
30-01-2024,Fase 07 Banco 950 mallas 03b,Ejecutada,10:39,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\01.Enero\Registro%20tronadura%20realizada%2030-01-2024.pdf
30-01-2024,Fase 06 Banco 950 mallas 12c-13c-14a,Ejecutada,13:28,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\01.Enero\Registro%20tronadura%20realizada%2030-01-2024.pdf
30-01-2024,0,Ejecutada,13:28,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\01.Enero\Registro%20tronadura%20realizada%2030-01-2024.pdf
07-02-2024,Fase 07 Banco 950 Malla 02A-06A,Ejecutada,11:51,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\02.Febrero\Registro%20tronadura%20ejecutada%2007-02-2024.pdf
07-02-2024,Fase 07 Banco 950  Malla Precorte,Ejecutada,11:51,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\02.Febrero\Registro%20tronadura%20ejecutada%2007-02-2024.pdf
